Class Name,Season,Section,Class Number,Meeting Time,Location,Instructor,Insutructor Url,Syllabus Url
ECT 587,Winter 2013-2014,Section:801,Class number:20069,Meeting time:Th5:45PM-9:00PM,Location:CDM 00632atLoop Campus,Eugene Backlin,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=531,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20142&ClassNbr=20069&fid=175845
ECT 587,Winter 2013-2014,Section:810,Class number:20070,Meeting time:-,Location:N/AatOnline Campus,Eugene Backlin,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=531,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20142&ClassNbr=20070&fid=175845
ECT 587,Winter 2012-2013,Section:801,Class number:24086,Meeting time:Th5:45PM-9:00PM,Location:CDM 00632atLoop Campus,Eugene Backlin,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=531,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20132&ClassNbr=24086&fid=175845
ECT 587,Winter 2012-2013,Section:810,Class number:24091,Meeting time:-,Location:N/AatOnline Campus,Eugene Backlin,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=531,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20132&ClassNbr=24091&fid=175845
ECT 587,Winter 2011-2012,Section:802,Class number:26355,Meeting time:Th6:00PM-9:15PM,Location:STDCT 00331atLincoln Park Campus,Eugene Backlin,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=531,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20122&ClassNbr=26355&fid=175845
ECT 587,Winter 2011-2012,Section:810,Class number:24555,Meeting time:-,Location:N/AatOnline Campus,Eugene Backlin,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=531,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20122&ClassNbr=24555&fid=175845
ECT 587,Spring 2010-2011,Section:901,Class number:34183,Meeting time:Tu5:45PM-9:00PM,Location:CDM 00230atLoop Campus,Eugene Backlin,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=531,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20113&ClassNbr=34183&fid=175845
ECT 587,Spring 2010-2011,Section:910,Class number:34184,Meeting time:-,Location:N/AatOnline Campus,Eugene Backlin,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=531,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20113&ClassNbr=34184&fid=175845
HCI 421,Winter 2015-2016,Section:801,Class number:22494,Meeting time:M5:45PM-9:00PM,Location:14EAS 00512atLoop Campus,Daniel Mittleman,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=651,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20162&ClassNbr=22494&fid=2132
HCI 421,Winter 2015-2016,Section:810,Class number:22495,Meeting time:-,Location:N/AatOnline Campus,Daniel Mittleman,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=651,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20162&ClassNbr=22495&fid=2132
HCI 421,Winter 2014-2015,Section:801,Class number:20243,Meeting time:M5:45PM-9:00PM,Location:14EAS 00512atLoop Campus,Daniel Mittleman,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=651,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20152&ClassNbr=20243&fid=2132
HCI 421,Winter 2014-2015,Section:810,Class number:20244,Meeting time:-,Location:N/AatOnline Campus,Daniel Mittleman,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=651,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20152&ClassNbr=20244&fid=2132
